iter	Passed	Remaining
866	1326	203
867	1327	201
868	1328	200
869	1329	198
870	1331	197
871	1332	195
872	1333	194
873	1335	192
874	1336	190
875	1337	189
876	1338	187
877	1340	186
878	1341	184
879	1342	183
880	1343	181
881	1344	179
882	1346	178
883	1347	176
884	1348	175
885	1349	173
886	1350	172
887	1351	170
888	1353	168
889	1354	167
890	1355	165
891	1356	164
892	1358	162
893	1359	161
894	1360	159
895	1361	158
896	1362	156
897	1364	154
898	1365	153
899	1366	151
900	1367	150
901	1368	148
902	1370	147
903	1371	145
904	1372	144
905	1373	142
906	1375	141
907	1376	139
908	1377	137
909	1379	136
910	1380	134
911	1381	133
912	1383	131
913	1384	130
914	1385	128
915	1386	127
916	1388	125
917	1389	124
918	1391	122
919	1392	121
920	1393	119
921	1395	118
922	1396	116
923	1398	114
924	1399	113
925	1401	111
926	1402	110
927	1403	108
928	1404	107
929	1406	105
930	1407	104
931	1409	102
932	1410	101
933	1412	99
934	1414	98
935	1415	96
936	1416	95
937	1418	93
938	1419	92
939	1421	90
940	1422	89
941	1423	87
942	1425	86
943	1426	84
944	1428	83
945	1429	81
946	1431	80
947	1433	78
948	1434	77
949	1435	75
950	1436	74
951	1438	72
952	1440	71
953	1441	69
954	1442	67
955	1444	66
956	1445	64
957	1446	63
958	1448	61
959	1449	60
960	1451	58
961	1452	57
962	1454	55
963	1457	54
964	1459	52
965	1460	51
966	1461	49
967	1464	48
968	1465	46
969	1466	45
970	1469	43
971	1470	42
972	1472	40
973	1473	39
974	1474	37
975	1476	36
976	1477	34
977	1479	33
978	1480	31
979	1482	30
980	1483	28
981	1484	27
982	1486	25
983	1488	24
984	1489	22
985	1490	21
986	1492	19
987	1493	18
988	1494	16
989	1496	15
990	1497	13
991	1499	12
992	1500	10
993	1502	9
994	1503	7
995	1504	6
996	1506	4
997	1508	3
998	1509	1
999	1510	0
